모델,R2,MSE,RMSE,MAE
랜덤포레스트(기본),0.8478578329479936,0.04062259355191466,0.20155047395606554,0.14154975509238438
선형회귀,0.7391730663273379,0.06964187982385531,0.2638974797603329,0.18914370190545246
결정트리(기본),0.6749715847054386,0.08678394335490541,0.29459114609048487,0.18421214298977012
